date,time,eventtype,location,topic,instructor,regtype,moreinfo,moreinfo_link
"Oct 1 - Dec 6, 2023 (Beta Test)",N/A,Curriculum Beta Test,Virtual,"OS101 Module 1, OS101 Module 2, OS101 Module 3, OS101 Module 4",Self-paced,NASA (Internal Only),N/A,#
"Aug. 25, 2023",N/A,"TOPST Virtual Cohort, Cohort #1",Virtual,"OS101 Module 1, OS101 Module 2, OS101 Module 5, OS101 Module 3, OS101 Module 4","Cameron Riddell, Don't Use This Code (DUTC)",External (TOPST),Register Now,#
"Sept. 29, 2023",N/A,"TOPST Virtual Cohort, Cohort #2",Virtual,"OS101 Module 1, OS101 Module 2, OS101 Module 3, OS101 Module 5, OS101 Module 4","Cameron Riddell, Don't Use This Code (DUTC)",External (TOPST),Register Now,#
"Feb. 12, 2024",N/A,"TOPST Virtual Cohort, Cohort #3",Virtual,"OS101 Module 1, OS101 Module 2, OS101 Module 3, OS101 Module 4, OS101 Module 5","Cameron Riddell, Don't Use This Code (DUTC)",External (TOPST),Register Now,#
"Mar. 15, 2024",N/A,"TOPST Virtual Cohort, Cohort #4",Virtual,"OS101 Module 1, OS101 Module 2, OS101 Module 3, OS101 Module 4, OS101 Module 5","Cameron Riddell, Don't Use This Code (DUTC)",External (TOPST),Register Now,#
"May. 6, 2024",1:00 PM - 4:00 PM,"Open Science Module 1 Training, JPL Internal","Jet Propulsion Laboratory, 183-328, Pasadena, CA",OS101 Module 1,JPL TOPS Team,JPL (Internal Only),Register Now,https://jetproplab.sumtotal.host/rcore/c/pillarRedirect?isDeepLink=1&relyingParty=LM&url=https%3A%2F%2FJETPROPLAB.sumtotal.host%2Flearning%2Fcore%2Factivitydetails%2FViewActivityDetails%3FUserMode%3D0%26ActivityId%3D125492%26ClassUnderStruct%3DFalse%26CallerUrl%3D%2Flearning%2Flearner%2FHome%2FGoToPortal%3Fkey%3D0%26SearchCallerURL%3Dhttps%253A%252F%252FJETPROPLAB.sumtotal.host%252Fcore%252FsearchRedirect%253FViewType%253DList%2526SearchText%253DOS101%2526startRow%253D0%26SearchCallerID%3D2
"May. 16, 2024",1:00 PM - 4:00 PM (Pacific),"Open Science Module 2 Training, JPL Internal","Jet Propulsion Laboratory, 167-151, Pasadena, CA",OS101 Module 2,JPL TOPS Team,JPL (Internal Only),Register Now,https://jetproplab.sumtotal.host/rcore/c/pillarRedirect?isDeepLink=1&relyingParty=LM&url=https%3A%2F%2FJETPROPLAB.sumtotal.host%2Flearning%2Fcore%2Factivitydetails%2FViewActivityDetails%3FUserMode%3D0%26ActivityId%3D125492%26ClassUnderStruct%3DFalse%26CallerUrl%3D%2Flearning%2Flearner%2FHome%2FGoToPortal%3Fkey%3D0%26SearchCallerURL%3Dhttps%253A%252F%252FJETPROPLAB.sumtotal.host%252Fcore%252FsearchRedirect%253FViewType%253DList%2526SearchText%253DOS101%2526startRow%253D0%26SearchCallerID%3D2
"May. 22, 2024",9:00 AM - 12:00 PM (Pacific),"Open Science Module 3 Training, JPL Internal","Jet Propulsion Laboratory, 167-151, Pasadena, CA",OS101 Module 3,JPL TOPS Team,JPL (Internal Only),Register Now,https://jetproplab.sumtotal.host/rcore/c/pillarRedirect?isDeepLink=1&relyingParty=LM&url=https%3A%2F%2FJETPROPLAB.sumtotal.host%2Flearning%2Fcore%2Factivitydetails%2FViewActivityDetails%3FUserMode%3D0%26ActivityId%3D125492%26ClassUnderStruct%3DFalse%26CallerUrl%3D%2Flearning%2Flearner%2FHome%2FGoToPortal%3Fkey%3D0%26SearchCallerURL%3Dhttps%253A%252F%252FJETPROPLAB.sumtotal.host%252Fcore%252FsearchRedirect%253FViewType%253DList%2526SearchText%253DOS101%2526startRow%253D0%26SearchCallerID%3D2
"May 22, 2024 & May 29, 2024",N/A,"TOPST Virtual Cohort, Cohort #5",Virtual,"OS101 Module 1, OS101 Module 2, OS101 Module 3, OS101 Module 4, OS101 Module 5","Cameron Riddell, Don't Use This Code (DUTC)",External (TOPST),Register Now,#
"May. 23, 2024",N/A,TOPS Champions Summer Workshop,"Goddard Space Flight Center, Greenbelt, MD",OS101 Module 1,"Goddard TOPS Team: Patricia Castellanos, Yuekui Yang, Michael Studinger, Mike Croteau",NASA (Internal Only),TBD,
"May. 24, 2024",1:00 PM - 4:00 PM (Pacific),"Open Science Module 1 Training, JPL Internal","Jet Propulsion Laboratory, 167-151, Pasadena, CA",OS101 Module 1,JPL TOPS Team,JPL (Internal Only),Register Now,https://jetproplab.sumtotal.host/rcore/c/pillarRedirect?isDeepLink=1&relyingParty=LM&url=https%3A%2F%2FJETPROPLAB.sumtotal.host%2Flearning%2Fcore%2Factivitydetails%2FViewActivityDetails%3FUserMode%3D0%26ActivityId%3D125492%26ClassUnderStruct%3DFalse%26CallerUrl%3D%2Flearning%2Flearner%2FHome%2FGoToPortal%3Fkey%3D0%26SearchCallerURL%3Dhttps%253A%252F%252FJETPROPLAB.sumtotal.host%252Fcore%252FsearchRedirect%253FViewType%253DList%2526SearchText%253DOS101%2526startRow%253D0%26SearchCallerID%3D2
"May. 28, 2024",N/A,TOPST,Virtual,OLS Nebula Program,Irene Ramos,External (TOPST),N/A,#
"May. 29, 2024",1:00 PM - 4:00 PM (Pacific),"Open Science Module 4 Training, JPL Internal","Jet Propulsion Laboratory, 167-151, Pasadena, CA",OS101 Module 4,JPL TOPS Team,JPL (Internal Only),Register Now,https://jetproplab.sumtotal.host/rcore/c/pillarRedirect?isDeepLink=1&relyingParty=LM&url=https%3A%2F%2FJETPROPLAB.sumtotal.host%2Flearning%2Fcore%2Factivitydetails%2FViewActivityDetails%3FUserMode%3D0%26ActivityId%3D125492%26ClassUnderStruct%3DFalse%26CallerUrl%3D%2Flearning%2Flearner%2FHome%2FGoToPortal%3Fkey%3D0%26SearchCallerURL%3Dhttps%253A%252F%252FJETPROPLAB.sumtotal.host%252Fcore%252FsearchRedirect%253FViewType%253DList%2526SearchText%253DOS101%2526startRow%253D0%26SearchCallerID%3D2
"Mondays, Jun. 10 - Jul. 15, 2024",1:00 PM - 4:00 PM (Pacific),"Open Science Training for Interns (Monday Cohort), JPL Internal","Jet Propulsion Laboratory, 183-328, Pasadena, CA","OS101 Module 1, OS101 Module 2, OS101 Module 3, OS101 Module 4, OS101 Module 5",JPL TOPS Team,JPL (Internal Only),Register Now,https://docs.google.com/forms/d/e/1FAIpQLSeAJMP8vXSOsRx9ydb5IT8KAX0C1beQnQucDkgsp_xiNbVrJw/viewform?usp=sf_link
"Thursdays, Jun. 13 - Jul. 18, 2024",9:00 AM - 12:00 PM (Pacific),"Open Science Training for Interns (Thursday Cohort), JPL Internal","Jet Propulsion Laboratory, 183-343, Pasadena, CA","OS101 Module 1, OS101 Module 2, OS101 Module 3, OS101 Module 4, OS101 Module 5",JPL TOPS Team,JPL (Internal Only),Register Now,https://docs.google.com/forms/d/e/1FAIpQLSeAJMP8vXSOsRx9ydb5IT8KAX0C1beQnQucDkgsp_xiNbVrJw/viewform?usp=sf_link
"Jun. 21, 2024",9:00 AM - 11:00 AM (Central),TOPS Champions Summer Workshop,Virtual,OS101 Module 2,"Genevieve Vigil, NASA; Teresa Miller, NASA",External (NASA),Register Now,https://docs.google.com/forms/d/e/1FAIpQLSdFuqK52d247U5vkt-3_SiXPytbDbaSRK_xnEER5LbmRSmESQ/viewform
"Jun. 21 & 28, 2024",11:00 AM - 2:00 PM (Eastern),"TOPST Virtual Cohort, Cohort 1",Virtual,"OS101 Module 1, OS101 Module 2, OS101 Module 3, OS101 Module 4, OS101 Module 5","Cameron Riddell, Don't Use This Code (DUTC)",External (TOPST),Register Now,https://docs.google.com/forms/d/e/1FAIpQLScAoOQ9hOFRxNpDU5LGWAmyETaQvUC_qSB_9vISnSqzMW3hPQ/viewform
"Jun. 28, 2024",9:00 AM - 11:00 AM (Central),TOPS Champions Summer Workshop,Virtual,OS101 Module 3,"Genevieve Vigil, NASA; Adam Kobelski, NASA",External (NASA),Register Now,https://docs.google.com/forms/d/e/1FAIpQLScMzvXXUvO7LmLENgYHR4vHCik8egO1jMjcAVMBPoYukPEZ9Q/viewform
"Jul. 8, 2024",8:00 AM -12:00 PM (Pacific),"Tutorial, ScienceCore","Tacoma Convention Center, Tacoma, WA",Determining Climate Risks with NASA Earthdata Cloud,"Dhavide Aruliah, 2i2c; Patricia A. Loto, Metadocencia; Karthik Venkataramani",External (ScienceCore),Registration Information,https://cfp.scipy.org/2024/talk/3DVH7S/
"Jul. 10, 2024",12:00 PM - 1:00 PM (Central),TOPS Champions Summer Workshop,"NSSTC Conference room 1010, 320 Sparkman Dr NW, Huntsville, AL 35805, USA",OS101 Module 1,"Pontus Olofsson, NASA; Genevieve Vigil, NASA",NASA (Internal Only),Register Now,https://docs.google.com/forms/d/e/1FAIpQLSe5ivAg1c62NygZFufQL4niFBUebLvKTrDIN-ilXfkPOT08fw/closedform
"Jul. 12, 2024",9:00 AM - 11:00 AM (Central),TOPS Champions Summer Workshop,Virtual,OS101 Module 4,"Adam Kobelski, NASA; Teresa Miller, NASA",External (NASA),Register Now,https://forms.gle/q3XtxNM4qmtCn4De8
"Jul. 12 -26, 2024",10AM - 12PM (Eastern),Intern OS101 Training,"Goddard Space Flight Center, Greenbelt, MD","OS101 Module 1, OS101 Module 2, OS101 Module 3, OS101 Module 4, OS101 Module 5",Goddard TOPS Team,NASA (Internal Only),TBD,
"Jul. 15 - 19, 2024",9:00 AM - 4:00 PM (Central),"Session 1, TOPST Summer School","National Louis University Downtown Campus 122 S Michigan - Chicago, IL","OS101 Module 1, OS101 Module 2, OS101 Module 3, OS101 Module 4, OS101 Module 5","National Louis University: Robyn Moncrief, Antonio Tovar, Abdullah Alshboul, Ian Moncrief, Toni Holden-McGee, Phuong Thai-Garcia",External (TOPST),Register Now,https://docs.google.com/forms/d/e/1FAIpQLSf-_fRd0TpJXjUD0OQmaSm3b8Yy_923vUdx6lPg5Ot0i-B9eA/viewform
"Jul. 19, 2024",9:00 AM - 11:00 AM (Central),TOPS Champions Summer Workshop (postponed),Virtual,OS101 Module 5,"Teresa Miller, NASA; Fred Kepner, NASA",External (NASA),Register Now,https://docs.google.com/forms/d/e/1FAIpQLSc1-2KuHo60MRcjXQf1--yqA9jNjnbbQ3efM3TLQrvOoeNFyw/viewform
"Jul. 19 & 26, 2024",11:00 AM - 2:00 PM (Eastern),"TOPST Virtual Cohort, Cohort 2",Virtual,"OS101 Module 1, OS101 Module 2, OS101 Module 3, OS101 Module 4, OS101 Module 5","Cameron Riddell, Don't Use This Code (DUTC)",External (TOPST),Register Now,https://docs.google.com/forms/d/e/1FAIpQLScAoOQ9hOFRxNpDU5LGWAmyETaQvUC_qSB_9vISnSqzMW3hPQ/viewform
"Jun. 26 - Jul. 31, 2024",4:00 PM - 7:00 PM (UTC-3),"Cohort 1, ALTa Ciencia Abierta [OS101 Spanish]",Virtual,"OS101 Module 1, OS101 Module 2, OS101 Module 3, OS101 Module 4, OS101 Module 5","Metadocencia Team: Romina Pendino, Veronica Xhardez, Maria Nanton, Alejandra Calero, Irene Vazano, Mariela Rajngewerc, Jesica Formoso, Driselda Sanchez-Aguirre, Debora Burin, Veronica Xhardez",External (Metadocencia),Register Now,https://www.metadocencia.org/alta-ca/1-2024/
"Jul. 29 - Aug. 2, 2024",9:00 AM - 4:30 PM (Central) ,TOPST Summer School,"University of Illinois at Urbana-Champaign - Urbana, IL","Research Software Engineering, OS101 Module 1, OS101 Module 2, OS101 Module 3, OS101 Module 4 +, OS101 Module 5","UIUC Team: Kyle Niemeyer, Matthew Feickert",External (TOPST),Register Now,https://forms.gle/jf3dHpLszcBRD72b9
"Aug. 5 - 9, 2024",9:00 AM - 4:00 PM (Central),"Session 2, TOPST Summer School","National Louis University Wheeling Campus 1000 Capital Drive - Wheeling, IL","OS101 Module 1, OS101 Module 2, OS101 Module 3, OS101 Module 4, OS101 Module 5","National Louis University: Robyn Moncrief, Antonio Tovar, Abdullah Alshboul, Ian Moncrief, Toni Holden-McGee, Phuong Thai-Garcia",External (TOPST),Register Now,https://docs.google.com/forms/d/e/1FAIpQLSf-_fRd0TpJXjUD0OQmaSm3b8Yy_923vUdx6lPg5Ot0i-B9eA/viewform
"Aug. 7, 2024",12:00 PM -1:00 PM (Central),TOPS Champions Summer Workshop,"NSSTC Conference room 1010, 320 Sparkman Dr NW, Huntsville, AL 35805, USA",OS101 Module 2,"Pontus Olofsson, NASA; Adam Kobelski, NASA",External (NASA),Register Now,https://docs.google.com/forms/d/e/1FAIpQLScINASmCYvEDpOmkutd-d6OigsgXD6HK4pu9FjelipOZV2Wog/viewform
"Aug. 12 - 14, 2024",10:00 AM - 4:00 PM (Central),TOPST Virtual Cohort,Virtual,"Open Science 101 for MSIs: OS101 Module 1, OS101 Module 2, OS101 Module 3, OS101 Module 4, OS101 Module 5","National Louis University: Robyn Moncrief, Antonio Tovar, Abdullah Alshboul, Ian Moncrief, Toni Holden-McGee, Phuong Thai-Garcia",External (TOPST),Register Now,https://nl.zoom.us/meeting/register/tJUoduirqzgtHNMbWOfYe4ayHLjdD69KAjK0#/registration
"Aug. 14, 2024",12:00 PM - 1:00 PM (Central),TOPS Champions Summer Workshop,"NSSTC Conference room 1010, 320 Sparkman Dr NW, Huntsville, AL 35805, USA",OS101 Module 3,"Michael Katz, NASA; Pontus Olofsson, NASA",External (NASA),Register Now,https://docs.google.com/forms/d/e/1FAIpQLSfSJA-VEnG7pBRs_GU4XklH7kKgFpON7FjNnd-06Jnz7-taNA/viewform
"Aug. 20 & 27, 2024",1:00 PM - 4:00 PM (Eastern),TOPST Virtual Cohort,Virtual,"OS101 Module 1, OS101 Module 2, OS101 Module 3, OS101 Module 4, OS101 Module 5","Cameron Riddell, Don't Use This Code (DUTC)",External (TOPST),Register Now,https://us02web.zoom.us/webinar/register/WN_mC4bLfIoTvOjk8BklKZ24Q
"Aug. 24 - Sept. 28, 2024",9:00 AM - 12:00 PM (UTC-3),"Cohort 2, ALTa Ciencia Abierta [OS101 Spanish]",Virtual,"OS101 Module 1, OS101 Module 2, OS101 Module 3, OS101 Module 4, OS101 Module 5","Metadocencia Team: Romina Pendino, Veronica Xhardez, Maria Nanton, Alejandra Calero, Irene Vazano, Mariela Rajngewerc, Jesica Formoso, Patricia Loto, Debora Burin, Veronica Xhardez",External (Metadocencia),Register Now,https://www.metadocencia.org/alta-ca/2-2024/
"Sept. 11 & 18, 2024",1:00 PM - 4:00 PM (Eastern),TOPST Virtual Cohort,Virtual,"OS101 Module 1, OS101 Module 2, OS101 Module 3, OS101 Module 4, OS101 Module 5","Cameron Riddell, Don't Use This Code",External (TOPST),Register Now,https://us02web.zoom.us/webinar/register/WN_KMWCv2fdSCSe_sk97wNtaw
"Oct. 1, 2024",8:00 AM - 5:00 PM (Pacific),"OS101 Day Training, JPL Internal","Jet Propulsion Laboratory, 183-718, Pasadena, CA","OS101 Module 1, OS101 Module 2, OS101 Module 3, OS101 Module 4, OS101 Module 5",JPL TOPS Team,JPL (Internal Only),Register Now,https://jetproplab.sumtotal.host/rcore/c/pillarRedirect?isDeepLink=1&relyingParty=LM&url=https%3A%2F%2FJETPROPLAB.sumtotal.host%2Flearning%2Fcore%2Factivitydetails%2FViewActivityDetails%3FUserMode%3D0%26ActivityId%3D125492%26ClassUnderStruct%3DFalse%26CallerUrl%3D%2Flearning%2Flearner%2FHome%2FGoToPortal%3Fkey%3D0%26SearchCallerURL%3Dhttps%253A%252F%252FJETPROPLAB.sumtotal.host%252Fcore%252FsearchRedirect%253FViewType%253DList%2526SearchText%253Dos101%2526startRow%253D0%26SearchCallerID%3D2
"Oct. 3 & 10, 2024",1:00 PM - 4:00 PM (Eastern),TOPST Virtual Cohort,Virtual,"OS101 Module 1, OS101 Module 2, OS101 Module 3, OS101 Module 4, OS101 Module 5","Cameron Riddell, Don't Use This Code",External (TOPST),Register Now,https://us02web.zoom.us/webinar/register/WN_8b72KiJYTkq4_gQdmUKTfA
"Oct. 8, 2024",8:00 AM - 5:00 PM (Pacific),"OS101 Day Training, JPL Internal","Jet Propulsion Laboratory, 183-718, Pasadena, CA","OS101 Module 1, OS101 Module 2, OS101 Module 3, OS101 Module 4, OS101 Module 5",JPL TOPS Team,JPL (Internal Only),Register Now,https://jetproplab.sumtotal.host/rcore/c/pillarRedirect?isDeepLink=1&relyingParty=LM&url=https%3A%2F%2FJETPROPLAB.sumtotal.host%2Flearning%2Fcore%2Factivitydetails%2FViewActivityDetails%3FUserMode%3D0%26ActivityId%3D125492%26ClassUnderStruct%3DFalse%26CallerUrl%3D%2Flearning%2Flearner%2FHome%2FGoToPortal%3Fkey%3D0%26SearchCallerURL%3Dhttps%253A%252F%252FJETPROPLAB.sumtotal.host%252Fcore%252FsearchRedirect%253FViewType%253DList%2526SearchText%253Dos101%2526startRow%253D0%26SearchCallerID%3D2
"Nov. 14 & 15, 2024",11:00 AM - 2:00 PM (Eastern),TOPST Virtual Cohort,Virtual,"OS101 Module 1, OS101 Module 2, OS101 Module 3, OS101 Module 4, OS101 Module 5","Cameron Riddell, Don't Use This Code",External (TOPST),Register Now,https://us02web.zoom.us/webinar/register/WN_ykk3qPU3T3CUewtw6iLMhQ#/registration
